message,target
limited to lds church members and undemanding armchair tourists ,0
"his ( nelson 's ) screenplay needs some serious re-working to show more of the dilemma , rather than have his characters stage shouting matches about it . ",0
"aimless for much of its running time , until late in the film when a tidal wave of plot arrives ",0
a riddle wrapped in a mystery inside an enigma ,0
works on some levels ,0
with energy and innovation ,0
being cast in action films when none of them are ever any good ,0
puhyssy assssss d shadow blade,1
one mediocre movie ,0
'll buy the soundtrack . ,0
eclipses ,0
"it seems impossible that an epic four-hour indian musical about a cricket game could be this good , ",0
odd and intriguing ,0
heartening tale ,0
there are side stories aplenty -- none of them memorable . ,0
if a bored cage spent the duration of the film 's shooting schedule waiting to scream : `` got aids yet ,0
goes straight to video ,0
"you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you ",0
"so much that this arrogant richard pryor wannabe 's routine is offensive , puerile and unimaginatively foul-mouthed if it was at least funny ",0
"self-aware , often self-mocking , intelligence ",0
forced by his kids to watch too many barney videos ,0
been held hostage by generic scripts that seek to remake sleepless in seattle again and again ,0
"done , so primitive in technique , ",0
"light , silly ",0
build a feel-good fantasy around a vain dictator-madman ,0
delivering a wholesome fantasy for kids ,0
lacks the utter authority of a genre gem ,0
an excruciating demonstration of the unsalvageability of a movie saddled with an amateurish screenplay ,0
a clear point ,0
to serve the work especially well ,0
", this sad , occasionally horrifying but often inspiring film is among wiseman 's warmest . ",0
"this film is so different from the apple and so striking that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success . ",0
"frailty fits into a classic genre , in its script and execution ",0
like this that puts flimsy flicks like this behind bars ,0
among the many pleasures are the lively intelligence of the artists and their perceptiveness about their own situations . ,0
a cool event ,0
's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex ,0
"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) . ",0
short of wonderful with its ten-year-old female protagonist and its steadfast refusal to set up a dualistic battle between good and evil ,0
loneliness and insecurity ,0
irresponsible sandlerian ,0
an ambitious ` what if ? ' ,0
of the best since the last waltz ,0
"trimmed dickens ' wonderfully sprawling soap opera , the better to focus on the hero 's odyssey from cowering poverty to courage and happiness ",0
speaks more of the season than the picture ,0
"each scene drags , underscoring the obvious , ",0
the stunt work is top-notch ; ,0
of the acting breed ,0
knew what the hell was coming next ,0
"bringing an unforced , rapid-fire delivery to toback 's heidegger - and nietzsche-referencing dialogue ",0
"laugh-out-loud lines , adorably ditsy but heartfelt performances , and sparkling , ",0
goes on and on and on and on ,0
to place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence ,0
teeth-clenching ,0
its empty head ,0
"original is its content , look , and style ",0
he does display an original talent ,0
the usual cliches ,0
"is definitely meaningless , vapid and devoid ",0
", the movie stirs us as well . ",0
that it emerges as another key contribution to the flowering of the south korean cinema ,0
"oversexed , at times overwrought comedy/drama that ",0
"the movie has a script ( by paul pender ) made of wood , and ",0
astonishingly condescending attitude ,0
tub-thumpingly loud it makes you feel like a chump ,0
"its performances are so well tuned that the film comes off winningly , even though it 's never as solid as you want it to be ",0
monotone narration ,0
"nemesis suffers from a paunchy midsection , several plodding action sequences and a wickedly undramatic central theme . ",0
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it 's being . ",0
our  th is different,0
virtually no one ,0
coral reef adventure is a heavyweight film that fights a good fight on behalf of the world 's endangered reefs -- and ,0
"borrows a bit from the classics `` wait until dark '' and `` extremities '' ... but in terms of its style , the movie is in a class by itself ",0
by french filmmaker karim dridi that celebrates the hardy spirit of cuban music ,0
wonderfully funny ,0
a 20-car pileup ,0
the true impact of the day ,0
delight your senses and ,0
is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love ,0
"set in a remote african empire before cell phones , guns , and the internal combustion engine ",0
did n't smile . ,0
worth the look ,0
dreadfully earnest inversion ,0
the worst movie ,0
"its true-to-life characters , its sensitive acting ",0
a big splash ,0
the rest of the cast was outshined by ll cool j. ,0
this is a movie full of grace and ,0
time frame right ,0
come up with an adequate reason why we should pay money for what we can get on television for free ,0
so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0
what i like about men with brooms and what is kind of special ,0
are too immature and unappealing to care about . ,0
simply intrusive ,0
", trouble every day is a plodding mess . ",0
self-promotion ,0
tradition and warmth ,0
affirms ,0
slap her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up . ,0
"cantet beautifully illuminates what it means sometimes to be inside looking out , and at other times outside looking in . ",0
soothe and break ,0
"is advised to take the warning literally , and log on to something more user-friendly . ",0
'll probably love it ,0
twisted shapes history ,0
its uncanny tale ,0
an unprecedented tragedy ,0
one adapted - from-television movie that actually looks as if it belongs on the big screen ,0
if you 're in the mood for something more comfortable than challenging ,0
action scenes ,0
failed jokes ,0
messy and frustrating ,0
is a frighteningly fascinating contradiction ,0
visual clarity and deeply ,0
new york 's finest ,0
particular talents ,0
"do cliches , no matter how ` inside ' they are ",0
unfaithful ' cheats on itself and retreats to comfortable territory . ,0
", sum up the strange horror of life in the new millennium ",0
certainly does n't feel like a film that strays past the two and a half mark ,0
genre cliches ,0
"low , very low , ",0
a delightfully dour ,0
breathe out of every frame . ,0
what is sex ,1
"a vile , incoherent mess ",0
", eight crazy nights is a total misfire . ",0
a smear ,0
since its poignancy hooks us completely ,0
full-length classic ,0
"a time machine , a journey back to your childhood , when cares melted away in the dark theater ",0
a fascinating character study with laughs ,0
"can still make you feel that you never want to see another car chase , explosion or gunfight again ",0
rusted-out ,0
a spiritual aspect ,0
"keeps things going at a rapid pace , occasionally using an omniscient voice-over narrator in the manner of french new wave films ",0
offers no new insight on the matter ,0
wonderfully ,0
charismatic enough ,0
smoother ,0
"when it comes to the battle of hollywood vs. woo , it looks like woo 's a p.o.w. ",0
a familiar road with a few twists ,0
"most thoughtful films about art , ethics , and the cost of moral compromise ",0
's sweet and fluffy at the time ,0
a welcome relief from baseball movies that try too hard to be mythic ,0
"ten little indians meets friday the 13th by way of clean and sober , filmed on the set of carpenter 's the thing and loaded with actors you 're most likely to find on the next inevitable incarnation of the love boat ",0
may be convinced that he has something significant to say ,0
made him a truly larger-than-life character ,0
"the need to stay in touch with your own skin , at 18 or 80 ",0
a winning and wildly fascinating work ,0
the pathology it pretends to investigate ,0
"historically significant , and personal , ",0
into a lyrical and celebratory vision ,0
inventive and mordantly humorous ,0
fans of gosford park have come to assume is just another day of brit cinema ,0
", daydreams , memories and one fantastic visual trope ",0
"to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , can not overcome blah characters ",0
what 's best about ,0
gets under our skin and ,0
being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks ,0
have the patience for it ,0
with every cinematic tool well under his control ,0
"bray is completely at sea ; with nothing but a savage garden music video on his resume , he has no clue about making a movie ",0
the process created a masterful work of art of their own ,0
terribly funny ,0
with a tawdry b-movie scum ,0
modest ,0
hideous ,0
with a cause ,0
"it 's packed with adventure and a worthwhile environmental message , so ",0
"simple , sweet and romantic ",0
have always appreciated a smartly written motion picture ,0
derailed by bad writing and ,0
a played-out idea -- a straight guy has to dress up in drag -- that shockingly manages to be even worse than its title ,0
has clever ways of capturing inner-city life during the reagan years . ,0
"the silly , over-the-top coda especially disappointing ",0
"mr. murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold . ",0
failing to compensate for the paper-thin characterizations and facile situations ,0
that propels her into the upper echelons of the directing world ,0
"but it 's a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half the plot and ingenuity ",0
directed action sequences and some of the worst dialogue ,0
see over and over ,0
political and psychological thriller ,0
big bloody chomps ,0
be oblivious to the existence of this film ,0
"sustain interest for the full 90 minutes , especially with the weak payoff ",0
a philosophical visual coming right ,0
"a ` girls gone wild ' video for the boho art-house crowd , the burning sensation ",0
jell with sean penn 's monotone narration ,0
for wrapping the theater in a cold blanket of urban desperation ,0
the atmosphere ,0
every cheap trick ,0
"its courageousness , and ",0
ensure that the film is never dull ,0
it awfully hard to buy the impetus for the complicated love triangle that develops between the three central characters ,0
"easy to swallow , but scarcely nourishing ",0
"to be going through the motions , beginning with the pale script ",0
"restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy ",0
a lunar mission with no signs of life ,0
the lady and the duke something of a theatrical air ,0
"two fine actors , morgan freeman ",0
"an ultra-loud blast of pointless mayhem , going nowhere fast ",0
"documented the cruelty and suffering he has found with an devastating , eloquent clarity ",0
", roiling black-and-white inspires trembling and gratitude . ",0
losin ' his fan base ,0
life affirming ,0
that its own action is n't very effective ,0
undermining the story 's emotional thrust ,0
"it is supposed to be , but ca n't really call it a work of art ",0
a reasonable degree of suspense ,0
inspired ,0
sting ,0
abridged edition ,0
"is the kathie lee gifford of film directors , ",0
"a loud , low-budget and tired formula film that arrives ",0
sketchy with actorish notations on the margin of acting ,0
with tiny little jokes and nary an original idea ,0
foremost cinematic poet ,0
"it 's a very entertaining , thought-provoking film with a simple message ",0
any thinking person is bound to appreciate ,0
negligible british comedy . ,0
should bolster director and co-writer ,0
is supposed to be madcap farce . ,0
she boxes these women 's souls right open for us . ,0
although it starts off so bad that you feel like running out screaming ,0
"soulful , scathing and joyous ",0
softheaded metaphysical claptrap ,0
"will take you places you have n't been , and also places you have ",0
call this film a lump of coal ,0
ultimate collapse during the film 's final ( restored ) third ,0
captures the raw comic energy of one of our most flamboyant female comics ,0
superior ,0
an impeccable sense ,0
"is that for the most part , the film is deadly dull . ",0
of this tacky nonsense ,0
it 's light on the chills and heavy on the atmospheric weirdness ,0
a winning family story ,0
intense and effective film ,0
hughes comedy ,0
give us real situations and characters ,0
while the movie is slightly less successful than the first ,0
the first part making up for any flaws that come later ,0
shamelessly money-grubbing than most third-rate horror sequels ,0
", a question comes to mind : so why is this so boring ? ",0
", self-assured ",0
clear and reliable ,0
makes even jason x ... look positively shakesperean by comparison ,0
as refreshing ,0
"like a living-room war of the worlds , gaining most of its unsettling force from the suggested and the unknown ",0
"for perfectly acceptable , occasionally very enjoyable children 's entertainment ",0
better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals ,0
missed opportunities . ,0
the most brilliant and brutal uk crime film ,0
"wonderful , ghastly ",0
"j. lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : she 's a pretty woman , but she 's no working girl . ",0
"a bit exploitative but also nicely done , ",0
execrable ,0
"an energetic , extreme-sports adventure ",0
saved this film ,0
half-baked setups ,0
too much kid-vid ,0
begins on a high note and ,0
an erotic thriller that ,0
"one of the funniest motion pictures of the year , but ... also one of the most curiously depressing . ",0
of this and that -- whatever fills time -- with no unified whole ,0
tender hug ,0
a pathetic exploitation film ,0
", like ravel 's bolero , builds to a crescendo that encompasses many more paths than we started with ",0
a charismatic charmer ,0
refracting all of world war ii through the specific conditions of one man ,0
is high on squaddie banter ,0
the best of the swashbucklers ,0
"wonders , enhancing the cultural and economic subtext , bringing richer meaning to the story 's morals ",0
lacking any real emotional impact ,0
comes off as a long ,0
never knew what the hell was coming next ,0
vampire fun ,0
behavior and severe flaws ,0
clown sf,2
be much funnier than anything ,0
delivers fascinating psychological fare ,0
one-dimensional ,0
", a movie does not proclaim the truth about two love-struck somebodies , but permits them time and space to convince us of that all on their own . ",0
depict the french revolution ,0
", hartley created a monster but did n't know how to handle it . ",0
been shot ,0
such a dependable concept was botched in execution ,0
fare with real thematic heft ,0
a really special walk ,0
can be viewed as pure composition and form -- ,0
"in artful , watery tones of blue , green and brown ",0
one of the most genuinely sweet films to come along in quite some time . ,0
", the film is blazingly alive and admirable on many levels . ",0
a fine cast ,0
"vulgarity , sex scenes , and cussing ",0
the fun wears thin -- then out -- when there 's nothing else happening ,0
"make the film more silly than scary , like some sort of martha stewart decorating program run amok ",0
as it 's too loud to shout insults at the screen ,0
with lingering questions about what the film is really getting at ,0
"a superfluous sequel ... plagued by that old familiar feeling of ` let 's get this thing over with ' : everyone has shown up at the appointed time and place , but visible enthusiasm is mighty hard to find . ",0
cinematography and exhilarating point-of-view shots and ,0
rarely work in movies now ,0
"humor , warmth , and ",0
to an imitation movie ,0
"lush and beautifully photographed ( somebody suggested the stills might make a nice coffee table book ) , but ultimately you 'll leave the theater wondering why these people mattered . ",0
ever had the inclination to make the most sincere and artful movie in which adam sandler will probably ever appear ,0
is put in an impossible spot because his character 's deceptions ultimately undo him and the believability of the entire scenario . ,0
with subplots involving the various silbersteins that it feels more like the pilot episode of a tv series than a feature film ,0
"there are n't many conclusive answers in the film , but there is an interesting story of pointed personalities , courage , tragedy and the little guys vs. the big guys . ",0
"by a cast that seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did ) ",0
be entertained by ,0
"definitive , if disingenuous , ",0
"unspeakable , of course , barely begins to describe the plot and its complications . ",0
its characters tissue-thin ,0
"it veered off too far into the exxon zone , and left me behind at the station looking for a return ticket to realism ",0
the soulful development of two rowdy teenagers ,0
"thrill you , touch you ",0
"to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas ",0
restrictive and chaotic ,0
the skills of a calculus major at m.i.t. ,0
the story really has no place to go since simone is not real -- ,0
a polished and vastly entertaining caper film that puts the sting back into the con ,0
adorably ditsy but heartfelt performances ,0
"is serene , the humor wry and sprightly ",0
does a fine job contrasting the sleekness of the film 's present with the playful paranoia of the film 's past . ' ,0
most resonant film since the killer ,0
a bad imitation ,0
gloriously ,0
of a respectable summer blockbuster ,0
"a summary of the plot does n't quite do justice to the awfulness of the movie , for that comes through all too painfully in the execution . ",0
more tiring than anything . ,0
"begins with promise , but runs aground after being snared in its own tangled plot ",0
stock clichés ,0
"a stylish but steady , and ultimately very satisfying , piece of character-driven storytelling ",0
the locations go from stark desert to gorgeous beaches . ,0
"slap me , i saw this movie . ",0
's no point in extracting the bare bones of byatt 's plot for purposes of bland hollywood romance . ,0
is actually quite entertaining . ,0
gritty police thriller ,0
the overuse of special effects ,0
noble end ,0
fairly run-of-the-mill . ,0
it 's worth taking the kids to . ,0
does n't offer much in terms of plot or acting . ,0
"eddie murphy and owen wilson have a cute partnership in i spy , but the movie around them is so often nearly nothing that their charm does n't do a load of good . ",0
get out ,0
a flourish ,0
a true star ,0
yiddish stage ,0
an adorably whimsical comedy that deserves more than a passing twinkle ,0
manipulative and as bland as wonder bread dipped in milk ,0
forgot to include anything even halfway scary as they poorly rejigger fatal attraction into a high school setting . ,0
is clearly a good thing . ,0
you 'll want things to work out ,0
"beautifully read and , finally , deeply humanizing ",0
"berling and béart ... continue to impress , and isabelle huppert ... again shows uncanny skill in getting under the skin of her characters ",0
visually compelling ,0
"telling the story , which is paper-thin and decidedly unoriginal ",0
existential exploration ,0
it gives devastating testimony to both people 's capacity for evil and their heroic capacity for good . ,0
"confident , richly ",0
"is painfully bad , ",0
confidently orchestrated ,0
"a big musical number like ` praise the lord , he 's the god of second chances ' ",0
a funny and touching film that is gorgeously acted by a british cast to rival gosford park 's . ,0
the soullessness ,0
an attempt to do something different over actually pulling it off ,0
"lack contrast , are murky and are frequently too dark to be decipherable ",0
hand of midas  what a joke,0
a dream image of the west to savor whenever the film 's lamer instincts are in the saddle ,0
what made allen 's romantic comedies so pertinent and enduring ,0
as some of the recent hollywood trip tripe ,0
"few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as nesbitt 's cooper looks when the bullets stop flying ",0
that 's not the least bit romantic and only mildly funny ,0
the greatest date movies in years ,0
"is felt ; not the craven of ' a nightmare on elm street ' or ` the hills have eyes , ' but the sad schlock merchant of ` deadly friend ",0
to skip the film and pick up the soundtrack ,0
lighting effects and ,0
"about cleverness , wit or any other kind of intelligent humor ",0
a winner ,0
"a family of five blind , crippled , amish people alive in this situation ",0
"hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the u.s. -- ",0
most magical and most ,0
is n't exactly endearing ,0
"some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and , really , nobody in the viewing audience cares . ",0
"first-time writer-director dylan kidd also has a good ear for dialogue , and the characters sound like real people . ",0
about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience 's meat grinder one more time . ,0
funny and human and really ,0
"... blade ii is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves . ",0
lethargic ,0
is n't nearly as funny ,0
do anything ,0
the plight ,0
"an admirable reconstruction of terrible events , and a fitting ",0
stop eric schaeffer before he makes another film ,0
nights feels more like a quickie tv special than a feature film ... ,0
the ` are we a sick society ,0
"it 's an effort to watch this movie , ",0
better than ,0
the party favors to sober us up with the transparent attempts at moralizing ,0
honest observations ,0
well paced and satisfying little drama ,0
"still rapturous after all these years , cinema paradiso stands as one of the great films about movie love . ",0
's horribly depressing and not very well done . ,0
once again dazzle and delight us ,0
"a sharp , amusing study of the cult of celebrity . ",0
", dumb ",0
great for the kids ,0
ultimately lifeless ,0
"leave it to the french to truly capture the terrifying angst of the modern working man without turning the film into a cheap thriller , a dumb comedy or a sappy melodrama . ",0
overplayed and exaggerated ,0
undoubtedly ,0
... a guiltless film for nice evening out . ,0
witty ,0
its own style ,0
", you 're too interested to care . ",0
a minimalist beauty and the beast ,0
miracle ,0
takes such a speedy swan dive ,0
laughs and not the last time ,0
see all summer ,0
bittersweet drama ,0
", i ca n't compare friday after next to them ",0
ver wiel 's ,0
of the worst dialogue ,0
for the testosterone-charged wizardry of jerry bruckheimer productions ,0
", good action , good acting , good dialogue , good pace , good cinematography . ",0
as imaginative as one might have hoped ,0
the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination and ,0
"bright young men -- promising , talented , charismatic and tragically ",0
at the station looking for a return ticket to realism ,0
that reminds at every turn of elizabeth berkley 's flopping dolphin-gasm ,0
win pls ,0
"'s a boring movie about a boring man , made watchable by a bravura performance from a consummate actor incapable of being boring ",0
"morrissette has performed a difficult task indeed - he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating ",0
coming-of-age theme ,0
"does n't take a rocket scientist to figure out that this is a mormon family movie , and a sappy , preachy one at that . ",0
"for the striking , quietly vulnerable personality of ms. ambrose ",0
lost in the translation ,0
"cut to a new scene , which also appears to be the end . ",0
even if the picture itself is somewhat problematic ,0
that steal your heart away ,0
"is pretty landbound , with its leaden acting , dull exposition and telegraphed ` surprises ",0
substitutable ,0
precision ,0
"this is popcorn movie fun with equal doses of action , cheese , ham and cheek ( as well as a serious debt to the road warrior ) ",0
"just a string of stale gags , ",0
u can fisnih right now,0
is grossly contradictory in conveying its social message ,0
it was only made for teenage boys and wrestling fans ,0
quirky characters and an engaging story ,0
"directed , barely , by there ",0
"mr. caine and mr. fraser are the whole show here , with their memorable and resourceful performances . ",0
jerking off ,0
visceral sensation ,0
on action ,0
"dumb gags , anatomical humor ",0
a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self-examination ,0
when a movie asks you to feel sorry for mick jagger 's sex life ,0
a hit ,0
spare dialogue and acute expressiveness ,0
"an unremittingly ugly movie to look at , listen to , and think about ",0
"are a couple of things that elevate `` glory '' above most of its ilk , most notably the mere presence of duvall ",0
utterly incompetent ,0
puts a refreshing and comical spin on the all-too-familiar saga of the contemporary single woman . ,0
"from philippe , who makes oliver far more interesting than the character 's lines would suggest , and sarandon , who could n't be better as a cruel but weirdly likable wasp matron ",0
the film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic . ,0
"a non-britney person might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine . ",0
gives it a buoyant delivery ,0
never thought i 'd say this ,0
", it actually hurts to watch . ",0
you sweat ,0
undeniably hard ,0
", often incisive satire and unabashed sweetness ",0
a feast ,0
mixed-up films ,0
painfully ,0
every cheap trick in the book trying to make the outrage ,0
", every bit as imperious as katzenberg 's the prince of egypt from 1998 . ",0
without cheesy fun factor ,0
"the plot has a number of holes , and at times it 's simply baffling ",0
"the film 's drumbeat about authenticity , given the stale plot and pornographic way the film revels in swank apartments , clothes and parties ",0
"while the filmmaking may be a bit disjointed , the subject matter is so fascinating that you wo n't care . ",0
"spreads itself too thin , ",0
triumphantly ,0
a sexy slip of an earth mother ,0
unstinting ,0
will probably have a reasonably good time with the salton sea ,0
"huppert scheming , with her small , intelligent eyes ",0
"payne has created a beautiful canvas , and nicholson proves once again that he 's the best brush in the business ",0
a stirring road movie . ,0
"have some idea of the glum , numb experience of watching o fantasma ",0
violence ,0
also represents glossy hollywood at its laziest . ,0
most thoughtful ,0
wholly believable and heart-wrenching depths ,0
"approaches his difficult , endless work with remarkable serenity and discipline . ",0
also captures moments of spontaneous creativity and authentic co-operative interaction ,0
worse stunt editing or cheaper action movie production ,0
", it never quite makes the grade as tawdry trash . ",0
visually masterful work ,0
so bad it does n't improve upon the experience of staring at a blank screen ,0
"slovenly done , so primitive in technique , that it ca n't really be called animation ",0
most every aggrieved father cliché ,0
peace is possible ,0
unrelentingly grim -- ,0
an original idea ,0
an entertainment so in love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots . ,0
"an entertaining ride , despite many talky , slow scenes ",0
astounding on any number of levels ,0
they 've already seen this exact same movie a hundred times ,0
the movie is concocted and carried out by folks worthy of scorn ,0
too little ,0
